,clusters
2859,10
2860,4
2861,10
2862,4
2863,3
2864,3
2865,7
2866,4
2867,8
2868,8
2869,12
2870,4
2871,12
2872,5
2873,5
2874,4
2875,4
2876,5
2877,5
2878,5
2879,5
2880,5
2881,5
2882,6
2883,8
2884,8
2885,7
2886,8
2887,5
2888,8
2889,5
2890,5
2891,5
2892,5
2893,4
2894,5
2895,5
2896,5
2897,5
2898,5
2899,5
2900,6
2901,8
2902,8
2903,8
2904,7
2905,6
2906,1
2907,1
2908,1
2909,7
2910,7
2911,7
2912,7
2913,4
2914,4
2915,4
2916,1
2917,1
2918,1
2919,1
2920,4
2921,4
2922,7
2923,7
2924,4
2925,4
2926,11
2927,4
2928,6
2929,12
2930,12
2931,8
2932,4
2933,4
2934,4
2935,3
2936,3
2937,0
2938,0
2939,9
2940,10
2941,12
2942,6
2943,12
2944,0
2945,8
2946,9
2947,12
2948,12
2949,4
2950,4
2951,10
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,1
2960,1
2961,1
2962,1
2963,1
2964,1
2965,1
2966,1
2967,1
2968,1
2969,4
2970,4
2971,6
2972,8
2973,1
2974,1
2975,1
2976,4
2977,5
2978,3
2979,5
2980,1
2981,1
2982,1
2983,4
2984,4
2985,5
2986,7
2987,10
2988,12
2989,8
2990,4
2991,1
2992,1
